subjID,disc,corr,locModality,locResp,ujdg,audVE,visVE
2,0,0.5,2,-3.71899906296704,1,NaN,-0.324789175798629
2,0,-1,1,-24.9721905327244,1,0.928750772708462,NaN
2,20,0,2,18.0798539241018,2,NaN,1.8313290954659
2,10,0,1,-5.49057145947809,1,14.8859887829213,NaN
2,-10,1,2,-2.20540031896781,2,NaN,1.18880956820061
2,20,0.5,1,-7.10482184005579,2,13.2717384023436,NaN
2,-20,0.5,2,-1.51738579571869,2,NaN,1.87682409144973
2,20,-1,1,17.7924290671246,2,8.61241384781027,NaN
2,-10,0.5,2,7.5061704880426,2,NaN,2.37216464085779
2,0,0,1,27.4621408136925,2,2.46022466471054,NaN
2,-20,1,2,-22.1512792885272,2,NaN,1.31931030644834
2,20,1,1,-24.7907860722567,2,1.1101552331761,NaN
2,10,-0.5,2,16.4486036494165,2,NaN,0.200078820780639
2,-10,-0.5,1,26.72766609449,1,1.725749945508,NaN
2,20,-0.5,2,15.0448028709524,2,NaN,-1.20372195768353
2,-20,-1,1,22.9655908131815,2,-2.03632533580048,NaN
2,0,-0.5,1,7.48450302543179,1,-1.69551219388257,NaN
2,-10,-1,2,17.0499739212145,1,NaN,0.801449092578586
2,-10,0,2,-11.7326667178333,1,NaN,1.39751965358407
2,10,1,1,25.863428451945,1,5.63345316580109,NaN
2,0,1,2,16.9532741381586,1,NaN,0.704749309522729
2,10,-1,1,12.2312414639235,2,3.05122624460912,NaN
2,-20,-0.5,2,-21.6002447600321,1,NaN,1.87034483494347
2,10,0.5,1,-18.5841714057144,2,1.79238883668501,NaN
2,-20,0,1,13.2626611999324,2,-6.96731408621157,NaN
2,20,0.5,2,13.1403318425921,2,NaN,-3.10819298604376
2,-10,-0.5,1,22.6705661906304,2,-2.33134995835161,NaN
2,-10,1,2,8.50856947358206,2,NaN,3.37456362639724
2,0,-1,1,-23.3601028027626,2,2.54083850267028,NaN
2,20,-0.5,2,-3.54241150403099,2,NaN,-0.14820161686258
2,-20,0.5,1,-0.567976104273716,2,-9.74799132358808,NaN
2,-20,1,2,-11.5960128333632,2,NaN,1.53417353805409
2,20,-1,2,14.1833544821089,2,NaN,-2.06517034652695
2,0,-0.5,1,4.95833741111586,1,-4.2216778081985,NaN
2,20,0,2,23.8392038713145,2,NaN,-0.944343632228364
2,10,0.5,1,-22.7322822101713,2,3.16865909526153,NaN
2,0,1,2,-10.8904323036135,2,NaN,2.23975406780386
2,0,0,1,17.5156973368815,2,-2.71427794926243,NaN
2,10,0,2,-4.08562586098856,1,NaN,-0.691415973820145
2,-10,0,1,24.8442110937202,2,-0.157705055261751,NaN
2,10,-0.5,1,-6.09672447035119,1,14.2798357720482,NaN
2,10,1,2,-17.4226832944564,2,NaN,-4.29249692303908
2,-10,-1,1,-18.5333554202977,2,1.8432048221017,NaN
2,-20,0,2,5.35063154798914,2,NaN,0.216625700804324
2,-10,0.5,2,-22.7059169723463,1,NaN,0.764672622629256
2,-20,-1,1,12.9126088239575,2,-7.31736646218642,NaN
2,-20,-0.5,2,-20.4905924084004,2,NaN,2.97999718657515
2,20,1,1,0.643678959659201,2,4.4808664040562,NaN
2,10,-1,2,25.0957125550331,1,NaN,0.312165051490201
2,0,0.5,1,5.40509550560505,2,-3.77491971370932,NaN
2,0,1,1,-15.5957250262095,1,4.7808352161899,NaN
2,0,0.5,2,13.7682197780046,2,NaN,-2.48030505063132
2,-20,-0.5,2,6.0149059596827,2,NaN,0.880900112497883
2,-10,1,1,-1.19555434872426,1,-10.3755695680386,NaN
2,-10,0.5,2,-14.164135083905,1,NaN,-1.03394871248769
2,0,-1,1,16.0050719881713,1,-4.22490329797258,NaN
2,20,0,2,24.3352151414505,2,NaN,-0.448332362092341
2,20,-1,1,3.49021762398167,2,7.32740506837867,NaN
2,-20,0.5,2,-6.25902367872294,2,NaN,6.87116269269438
2,10,0.5,1,-23.3234771038066,2,2.57746420162628,NaN
2,10,0,2,-5.00018807428144,2,NaN,-1.60597818711303
2,20,0.5,1,-11.1360551656902,2,9.24050507670917,NaN
2,0,0,1,14.8455988078077,1,-5.38437647833619,NaN
2,10,1,2,24.1080538490481,1,NaN,-0.675493654494776
2,20,1,2,18.3948220425178,2,NaN,2.1462972138819
2,20,-0.5,1,0.700215083754528,2,4.53740252815153,NaN
2,-10,-0.5,2,-23.2064630149458,2,NaN,0.264126580029767
2,10,-0.5,1,10.6842023228671,1,1.50418710355274,NaN
2,-10,-1,2,6.35338888164054,1,NaN,1.21938303445572
2,-20,1,1,3.27565353593158,2,-5.90436168338279,NaN
2,-20,-1,2,3.62610034102329,2,NaN,-1.50790550616153
2,10,-1,1,14.0246973312829,2,-6.20527795486099,NaN
2,0,-0.5,2,25.248523647313,1,NaN,0.464976143770091
2,-20,0,1,-1.08698205871725,2,-10.2669972780316,NaN
2,-10,0,1,-24.8681452818915,1,-4.49158503949213,NaN
2,-20,0.5,2,-6.71285429570675,2,NaN,6.41733207571057
2,-20,-0.5,1,23.6759629155524,2,-1.32595323342956,NaN
2,-20,-1,2,0.0290705928862365,2,NaN,3.42328048005465
2,10,1,1,17.4851875827307,2,-2.74478770341323,NaN
2,10,-0.5,2,4.30010644004287,2,NaN,-0.833899407141949
2,0,0.5,2,-3.93271821780611,1,NaN,-0.538508330637695
2,10,0,1,-11.5947866301641,2,8.7817736122353,NaN
2,0,-1,1,25.9089361610331,1,0.907020012051145,NaN
2,-20,1,2,8.98260358984175,2,NaN,3.84859774265693
2,-10,-0.5,1,15.3684577635473,2,-4.86151752259663,NaN
2,20,-1,2,7.88045136385502,2,NaN,2.7464455166702
2,20,0,1,-7.40566558574134,2,12.9708946566581,NaN
2,20,-0.5,2,1.05025727233157,2,NaN,4.44446715949999
2,10,-1,1,6.48525270339952,2,-2.69476251591485,NaN
2,-10,0,2,-2.05322973700668,2,NaN,1.34098015016173
2,10,0.5,1,-9.58310688276681,2,10.7934533596326,NaN
2,0,0,2,5.38799740649624,1,NaN,0.25399155931142
2,0,1,2,26.8854466532344,1,NaN,2.10189914969153
2,-10,-1,1,-3.27660877725548,2,0.560578667141521,NaN
2,0,-0.5,2,-2.69008650949427,1,NaN,0.70412337767414
2,-20,0,1,-8.9741883216564,2,-5.1370008772594,NaN
2,-10,0.5,2,-23.3531023932617,1,NaN,0.117487201713907
2,-10,1,1,24.1085861654924,2,-0.893329983489593,NaN
2,20,0.5,2,-8.49669548357846,2,NaN,-5.10248559641005
2,20,1,1,9.90055364038317,2,0.720538421068801,NaN
2,10,1,1,-4.09674994821285,1,16.2798102941866,NaN
2,-20,0.5,2,-22.954486148365,2,NaN,0.516103446610522
2,10,0,1,25.2385921152351,1,5.0086168290912,NaN
2,0,0.5,2,-26.2951036274091,1,NaN,-2.82451403243351
2,-10,-1,1,-14.4703540021503,1,-10.6331665577533,NaN
2,0,0,2,-19.0304398496757,1,NaN,-5.90025347825838
2,20,0.5,1,-8.70563186458876,2,11.6709283778106,NaN
2,0,-0.5,2,-25.9569913989808,1,NaN,-2.48640180400528
2,20,-0.5,2,-13.5428861642509,2,NaN,-10.1486762770825
2,-10,-0.5,1,-25.5503945541554,1,-5.17383431175602,NaN
2,-20,0,2,-21.5927879286571,2,NaN,1.87780166631849
